Alabama;R;41389
Alaska;I;74422
Arizona;R;44161
Arkansas;R;39580
California;D;70662
Colorado;D;61311
Connecticut;D;69789
Delaware;D;64985
District of Columbia;D;178442
Florida;R;44267
Georgia;R;50816
Hawaii;D;58181
Idaho;R;40566
Illinois;R;61713
Indiana;R;49182
Iowa;R;55051
Kansas;D;53528
Kentucky;D;42386
Louisiana;D;51729
Maine;R;43541
Maryland;R;61926
Massachusetts;R;75258
Michigan;R;47128
Minnesota;D;59562
Mississippi;R;35015
Missouri;R;47407
Montana;D;44145
Nebraska;R;59386
Nevada;R;50043
New Hampshire;R;57272
New Jersey;R;63492
New Mexico;R;46304
New York;D;75131
North Carolina;D;48496
North Dakota;R;70991
Ohio;R;52664
Oklahoma;R;50876
Oregon;D;52726
Pennsylvania;D;56868
Rhode Island;D;51963
South Carolina;R;41457
South Dakota;R;52913
Tennessee;R;48440
Texas;R;61682
Utah;R;51407
Vermont;R;48855
Virginia;D;56938
Washington;D;69761
West Virginia;R;40265
Wisconsin;R;52534
Wyoming;R;67915
